n,number_of_tests,bf_avg_time,eager_avg_time,eager_avg_dist,dtree_avg_time,dtree_avg_dist,eager_match_best,dtree_match_best
3,5,0.001200,0.001400,0.000000,0.022600,-0.004463,5,5
4,5,0.003000,0.001000,0.006529,0.021600,0.003416,3,4
5,5,0.011000,0.001200,0.076021,0.025800,0.055453,0,0
6,5,0.065800,0.001600,0.044757,0.030600,0.086029,3,2
7,5,0.462800,0.001600,0.054316,0.034000,0.151032,3,1
8,5,2.866600,0.001800,0.083146,0.029200,0.144916,1,0
9,5,14.377400,0.000800,0.036789,0.017800,0.119293,1,0
10,5,154.543600,0.001000,0.106973,0.021400,0.274966,1,0
11,5,1820.249600,0.001600,0.073852,0.033600,0.157236,0,0
12,5,23320.960800,0.001200,0.100009,0.042200,0.179896,0,0
13,5,0.000000,0.001600,0.000000,0.026400,0.000000,0,0
14,5,0.000000,0.001400,0.000000,0.026600,0.000000,0,0
15,5,0.000000,0.001800,0.000000,0.026800,0.000000,0,0
16,5,0.000000,0.002000,0.000000,0.029200,0.000000,0,0
17,5,0.000000,0.002000,0.000000,0.031000,0.000000,0,0
18,5,0.000000,0.002400,0.000000,0.035200,0.000000,0,0
19,5,0.000000,0.002200,0.000000,0.037400,0.000000,0,0
20,5,0.000000,0.002600,0.000000,0.037600,0.000000,0,0
21,5,0.000000,0.002800,0.000000,0.045400,0.000000,0,0
22,5,0.000000,0.003000,0.000000,0.042600,0.000000,0,0
23,5,0.000000,0.003000,0.000000,0.046000,0.000000,0,0
24,5,0.000000,0.003800,0.000000,0.048200,0.000000,0,0
25,5,0.000000,0.003400,0.000000,0.050400,0.000000,0,0
26,5,0.000000,0.004000,0.000000,0.054600,0.000000,0,0
27,5,0.000000,0.004000,0.000000,0.059000,0.000000,0,0
28,5,0.000000,0.004400,0.000000,0.061400,0.000000,0,0
29,5,0.000000,0.004200,0.000000,0.062000,0.000000,0,0
30,5,0.000000,0.004800,0.000000,0.066400,0.000000,0,0
31,5,0.000000,0.004800,0.000000,0.073000,0.000000,0,0
32,5,0.000000,0.005400,0.000000,0.076600,0.000000,0,0
33,5,0.000000,0.005400,0.000000,0.078000,0.000000,0,0
34,5,0.000000,0.006000,0.000000,0.082000,0.000000,0,0
35,5,0.000000,0.005800,0.000000,0.085000,0.000000,0,0
36,5,0.000000,0.006200,0.000000,0.090800,0.000000,0,0
37,5,0.000000,0.006000,0.000000,0.093400,0.000000,0,0
38,5,0.000000,0.006600,0.000000,0.097000,0.000000,0,0
39,5,0.000000,0.007000,0.000000,0.098800,0.000000,0,0
40,5,0.000000,0.007400,0.000000,0.103200,0.000000,0,0
41,5,0.000000,0.007200,0.000000,0.110400,0.000000,0,0
42,5,0.000000,0.007800,0.000000,0.113200,0.000000,0,0
43,5,0.000000,0.008200,0.000000,0.115400,0.000000,0,0
44,5,0.000000,0.008400,0.000000,0.122200,0.000000,0,0
45,5,0.000000,0.009200,0.000000,0.124600,0.000000,0,0
46,5,0.000000,0.009000,0.000000,0.129200,0.000000,0,0
47,5,0.000000,0.009200,0.000000,0.131600,0.000000,0,0
48,5,0.000000,0.010200,0.000000,0.138000,0.000000,0,0
49,5,0.000000,0.010000,0.000000,0.142400,0.000000,0,0
50,5,0.000000,0.010600,0.000000,0.147400,0.000000,0,0
51,5,0.000000,0.011200,0.000000,0.154600,0.000000,0,0
52,5,0.000000,0.011400,0.000000,0.155400,0.000000,0,0
53,5,0.000000,0.011200,0.000000,0.160600,0.000000,0,0
54,5,0.000000,0.012200,0.000000,0.166200,0.000000,0,0
55,5,0.000000,0.012200,0.000000,0.171200,0.000000,0,0
56,5,0.000000,0.013000,0.000000,0.175400,0.000000,0,0
57,5,0.000000,0.013000,0.000000,0.179200,0.000000,0,0
58,5,0.000000,0.013200,0.000000,0.187800,0.000000,0,0
59,5,0.000000,0.014200,0.000000,0.189200,0.000000,0,0
60,5,0.000000,0.014400,0.000000,0.194000,0.000000,0,0
61,5,0.000000,0.016200,0.000000,0.200200,0.000000,0,0
62,5,0.000000,0.017600,0.000000,0.206200,0.000000,0,0
63,5,0.000000,0.015200,0.000000,0.209400,0.000000,0,0
64,5,0.000000,0.015800,0.000000,0.216400,0.000000,0,0
65,5,0.000000,0.016800,0.000000,0.222000,0.000000,0,0
66,5,0.000000,0.016200,0.000000,0.230000,0.000000,0,0
67,5,0.000000,0.016800,0.000000,0.234800,0.000000,0,0
68,5,0.000000,0.017800,0.000000,0.238000,0.000000,0,0
69,5,0.000000,0.017800,0.000000,0.241000,0.000000,0,0
70,5,0.000000,0.018200,0.000000,0.249800,0.000000,0,0
71,5,0.000000,0.019200,0.000000,0.260800,0.000000,0,0
72,5,0.000000,0.019400,0.000000,0.265400,0.000000,0,0
73,5,0.000000,0.020200,0.000000,0.265200,0.000000,0,0
74,5,0.000000,0.020600,0.000000,0.278000,0.000000,0,0
75,5,0.000000,0.020800,0.000000,0.281200,0.000000,0,0
